alpha_id,strategy,gamma,base_spread,vol_mult,vol_window,order_notional,refresh_bars,target_pct,max_inv_mult,is_sharpe_mean,is_pnl_pct_mean,is_max_dd_worst,oos_sharpe_mean,oos_pnl_pct_mean,oos_max_dd_worst,n_sym_profit_oos,avg_fills,score
AV2888,avellaneda,8.919024688720242,0.004078398387297844,6.263225137670247,120,50.0,1,0.4,5.112802487379062,3.9342977606422807,0.5491388020691175,-0.4222327202253473,2.3588305151249545,0.1635192007164078,-0.3500948104008421,7,187.8,7.833838907432176
AV2036,avellaneda,1.421058402966018,0.002631724355563173,12.60959399189096,480,75.0,10,0.4,4.919574874724007,2.492240783886083,0.3480435570255722,-0.5148634906346888,1.5445205010028695,0.1144889965659404,-0.3658298878151618,8,67.5,7.829915787073483
AV2410,avellaneda,7.555751370026499,0.005310265746817608,18.042604483279266,480,50.0,1,0.4,9.565618722240266,4.3121710130336055,0.535583293728152,-0.3719487600284447,2.100786135537249,0.13122161684150524,-0.3561989969533351,7,35.4,7.828130854431964
AV0109,avellaneda,11.532705995270042,0.004344849370147811,5.745509924129754,60,75.0,1,0.4,9.912793352649356,3.6102312150877203,0.51521115708873,-0.421450557664848,2.5559180255904286,0.17181835137761667,-0.34086613085395584,7,195.7,7.826525976300982
AV0561,avellaneda,42.82494534447786,0.0002025733895498841,51.737024406541984,480,75.0,3,0.4,4.830385586126556,3.8841251492037197,0.5345414374061366,-0.4000066753897227,2.3677609415024916,0.15810723469458207,-0.3627403936819792,7,47.4,7.8216141235918855
AV0412,avellaneda,11.832493273348708,0.001482494693036325,19.545283486477437,240,50.0,3,0.6,3.498488761667608,4.047705340512671,0.5686681526336269,-0.3766744648563326,2.243726846043148,0.14947825229903539,-0.3419988003093022,7,81.7,7.815427015038583
AV3996,avellaneda,31.435524810548756,0.004340554985001217,42.16573339464999,120,50.0,1,0.6,11.755949993623439,3.9094329965752137,0.5475056749998221,-0.3849579611503214,2.326338384842746,0.16486937307982955,-0.33263261786009024,7,77.7,7.812913764926581
AV3391,avellaneda,31.716411304493192,0.0016299198967996114,17.497596693637874,120,100.0,1,0.6,11.193539891150392,3.348641269493295,0.4843916943046461,-0.41241089560533506,2.6939640850595037,0.18781584276969987,-0.3498701064828492,7,239.2,7.81090928015737
AV0206,avellaneda,21.618342928025356,0.0008028505271298767,34.73452618864329,240,50.0,3,0.6,3.672053120375372,4.008681909022917,0.5581461886529251,-0.3782000630199582,2.250844334526314,0.15409451404535507,-0.3281110471064676,7,70.4,7.808125421540957
AV1505,avellaneda,3.032469255220602,0.002935298066254029,11.748378545496069,240,100.0,5,0.6,11.28040243145728,3.5106350628869527,0.5167531753231233,-0.4612089742861281,2.5869815605642135,0.17670861844042882,-0.41172467158354265,7,49.4,7.806765430300204
AV3300,avellaneda,19.801539028315844,0.0010481943548718445,15.264228158184567,240,100.0,3,0.5,6.51694319874568,3.3766964375037296,0.5081914971101851,-0.45118505183412705,2.661325751779389,0.18688264972649085,-0.3569024891874506,7,152.6,7.804141982178717
AV3176,avellaneda,16.93226790449542,0.0004854280807862057,29.68279166812138,30,50.0,3,0.6,6.005589662208314,4.085711225351799,0.555823739850628,-0.3718049710937339,2.1865354262357033,0.1485116695783381,-0.34664267904216106,7,70.0,7.8007366822353434
AV2986,avellaneda,25.470843196088367,0.0006252363295869018,21.6795456387662,30,75.0,5,0.6,9.591504076072388,3.6688524947567074,0.5366454317288463,-0.40260942564938884,2.4564902805440014,0.1695590117000702,-0.3339180889185263,7,137.0,7.799606010272708
AV1526,avellaneda,58.19184613002232,0.000688837713122372,59.4818127434793,240,100.0,1,0.4,2.846149196593217,3.9384597807601005,0.5398793259411924,-0.4066000706511658,2.2686537234978954,0.14901517274791148,-0.3621556118493208,7,35.5,7.792623986910957
